Id,Name ,SwahiliName,IsActive,MinistryId,IsPublicSector
1,Mfuko wa Hifadhi ya Jamii (ZSSF),Mfuko wa Hifadhi ya Jamii (ZSSF),1,26,1
2,Bodi ya Shirika la Magazeti,Bodi ya Shirika la Magazeti,0,26,1
3,Wakala wa Usajili wa Matukio ya Kijamii,Wakala wa Usajili wa Matukio ya Kijamii,1,26,1
4,Baraza la Taasisi ya Utafiti wa Kilimo Zanzibar,Baraza la Taasisi ya Utafiti wa Kilimo Zanzibar,1,26,1
5,"Wakala wa Chakula, Dawa na Vipodozi","Wakala wa Chakula, Dawa na Vipodozi",1,26,1
6,Tume ya Mipango,Tume ya Mipango,1,26,1
7,Baraza la Madaktari,Baraza la Madaktari,1,26,1
8,Bodi ya Mamlaka ya Ununuzi na Uondoshaji wa Mali za Serikali,Bodi ya Mamlaka ya Ununuzi na Uondoshaji wa Mali za Serikali,1,26,1
9,Mamlaka ya  Kukuza Vitega Uchumi (ZIPA),Mamlaka ya  Kukuza Vitega Uchumi (ZIPA),1,26,1
10,Mamlaka ya Maji Zanzibar (ZAWA),Mamlaka ya Maji Zanzibar (ZAWA),1,24,1
11,Ofisi ya Mdhibiti na Mkaguzi Mkuu wa Hesabu za Serikali,Ofisi ya Mdhibiti na Mkaguzi Mkuu wa Hesabu za Serikali,1,1,1
12,Mahkama,Mahkama,1,1,1
13,Bodi ya Kudhibiti Kodi za Nyumba,Bodi ya Kudhibiti Kodi za Nyumba,1,11,1
14,Baraza la Vijana,Baraza la Vijana,1,17,1
15,Mamlaka ya Usafiri Baharini (ZMA),Mamlaka ya Usafiri Baharini (ZMA),1,13,1
16,Baraza la Taifa la Michezo Zanzibar,Baraza la Taifa la Michezo Zanzibar,1,28,1
17,Ofisi ya Mkaguzi Mkuu wa Ndani wa Hesabu za Serikali,Ofisi ya Mkaguzi Mkuu wa Ndani wa Hesabu za Serikali,1,23,1
18,"Bodi ya Mamlaka ya Udhibiti, Utafutaji na Uchimbaji wa Mafuta na Gesi Asilia","Bodi ya Mamlaka ya Udhibiti, Utafutaji na Uchimbaji wa Mafuta na Gesi Asilia",1,33,1
19,Baraza la Mitihani Zanzibar,Baraza la Mitihani Zanzibar,1,19,1
20,Kampuni ya Uunganishaji Maudhui(ZMUX),Kampuni ya Uunganishaji Maudhui(ZMUX),1,26,1
21,Kamisheni ya Utumishi wa Umma,Kamisheni ya Utumishi wa Umma,1,22,1
22,Shirika la Utangazaji Zanzibar(ZBC),Shirika la Utangazaji Zanzibar(ZBC),1,26,1
23,Taasisi ya Karume ya Sayansi na Teknolojia,Taasisi ya Karume ya Sayansi na Teknolojia,0,NULL,1
24,Baraza la Maulamaa,Baraza la Maulamaa,1,22,1
25,Baraza la Biashara la Zanzibar,Baraza la Biashara la Zanzibar,1,28,1
26,Tume ya Ukimwi,Tume ya UKIMWI,0,NULL,1
27,Tume ya Utangazaji,Tume ya Utangazaji,1,26,1
28,Taasisi ya Utafiti wa Masuala ya Uvuvi na Mazao Baharini,Taasisi ya Utafiti wa Masuala ya Uvuvi na Mazao Baharini,1,33,1
29,Halmashauri ya Wilaya ya Wete,Halmashauri ya Wilaya ya Wete,0,NULL,1
30,Ofisi ya Mkurugenzi wa Mashtaka,Ofisi ya Mkurugenzi wa Mashtaka,1,22,1
31,Tume ya Uchaguzi ya ZanzibarB,Tume ya Uchaguzi ya ZanzibarB,0,NULL,1
32,Hospitali ya Rufaa ya Mnazi Mmoja,Hospitali ya Rufaa ya Mnazi Mmoja,1,5,1
33,Tume ya Kurekebisha Sheria,Tume ya Kurekebisha Sheria,1,22,1
34,Kikosi cha Valantia(KVZ),Kikosi cha Valantia(KVZ),1,16,1
35,Chuo cha Utawala wa Umma (IPA),Chuo cha Utawala wa Umma (IPA),1,22,1
36,Bodi ya Ushauri ya Mdhibiti na Mkaguzi Mkuu wa  Hesabu za Serikali,Bodi ya Ushauri ya Mdhibiti na Mkaguzi Mkuu wa  Hesabu za Serikali,1,NULL,1
37,Chuo cha Mafunzo,Chuo cha Mafunzo,1,16,1
38,Halmashauri ya Wilaya ya Kati,Halmashauri ya Wilaya ya Kati,1,16,1
